product_name,retail_price,discounted_price,overall_rating,category
Leo Natura Paniarakkal 7 Hole Kadhai NA L,780.0,649.0,5.0,Kitchen & Dining
Peach 3mm Premium Green Pan Kadhai 2.5 L,999.0,399.0,5.0,Kitchen & Dining
Chefkraft Tri Ply Kadhai 3.2 L,1245.0,934.0,5.0,Kitchen & Dining
Pigeon Triply Kadhai 2 L,895.0,625.0,4.0,Kitchen & Dining
Jaipan KD2.5 Kadhai 2.5 L,690.0,499.0,4.3,Kitchen & Dining
Village Handicrafts Alloy Necklace,378.0,378.0,4.2,Jewellery
United Kadhai NA L,1525.0,999.0,5.0,Kitchen & Dining
VR Designers Glass Necklace,700.0,190.0,4.0,Jewellery
PurpleYou Cotton Embroidered Blouse Material,1418.0,1099.0,5.0,Clothing
Total Agency Car Mobile Stand Holder Mount,499.0,249.0,5.0,Automotive
"Vinnis Style Diva Metal, Acrylic, Alloy Necklace",699.0,450.0,4.0,Jewellery
Woodino Handicrafts Showpiece  -  6.5 cm,749.0,399.0,5.0,Home Decor & Festive Needs
R S Jewels Handmade Decoretive Designs Iron Pot Vase Showpiece  -  76 cm,1300.0,780.0,5.0,Home Decor & Festive Needs
Urdiva Fashions Metal Necklace,499.0,199.0,5.0,Jewellery
Bracketron Tour Window Hip Kicker,1650.0,199.0,4.0,Automotive
Suruchi Kadhai 1 L,490.0,299.0,5.0,Kitchen & Dining
Desert Eshop Real Antique Brass Royal 3 Minute Sand Timer 281 Showpiece  -  7 cm,699.0,485.0,5.0,Home Decor & Festive Needs
Elephant 9.84 inch Lid,500.0,450.0,4.0,Kitchen & Dining
Nihar Pirangi Bomber Showpiece  -  10 cm,799.0,194.0,5.0,Home Decor & Festive Needs
Bagru Crafts Wall hanging of Lord Ganesha Showpiece  -  21.69 cm,999.0,549.0,5.0,Home Decor & Festive Needs
Giftwallas Crystal Necklace,399.0,239.0,4.0,Jewellery
Fayon Golden Tassel Alloy Necklace,1150.0,375.0,4.0,Jewellery
Hi Look Alloy Necklace,695.0,371.0,4.5,Jewellery
Playboy London Combo Set,398.0,330.0,5.0,Beauty and Personal Care
